protocol,nav,ap_from_ap_0_sum_ant_rssi,sta_to_ap_0_sum_ant_rssi,sta_to_ap_1_sum_ant_rssi,sta_from_ap_0_sum_ant_rssi,sta_from_ap_1_sum_ant_rssi,seq_time,pro_pd,pro_ed,pro_nav,state,sinr
1,-82,-83.29787234,-83.875,-67.8,-92,-72.3,,0,0,0,0,27.7
1,-82,-84.43396226,-67.59183673,-85,-68.95,-92,,0,0,0,0,31.05
0,-82,-83.29787234,-83.875,-67.8,-92,-72.3,,0,0,0,0,27.7
0,-82,-84.43396226,-67.59183673,-85,-68.95,-92,,0,0,0,0,31.05
1,-82,-82.26923077,-86.5,-66.04545455,-92,-71.375,,0,0,0,0,28.625
1,-82,-83.30769231,-66.5106383,-83.9,-67.45,-92,,0,0,0,0,32.55
0,-82,-82.26923077,-86.5,-66.04545455,-92,-71.375,,0,0,0,0,28.625
0,-82,-83.30769231,-66.5106383,-83.9,-67.45,-92,,0,0,0,0,32.55
1,-82,-81.34615385,-86.16666667,-66.63829787,-92,-70.675,,0,0,0,0,29.325
1,-82,-82.50943396,-65.56521739,-84.30612245,-66.475,-92,,0,0,0,0,33.525
0,-82,-81.34615385,-86.16666667,-66.63829787,-92,-70.675,,0,0,0,0,29.325
0,-82,-82.50943396,-65.56521739,-84.30612245,-66.475,-92,,0,0,0,0,33.525
1,-82,-80.07843137,-85.83333333,-68.60465116,-92,-70.075,,0.037735849,0.018867925,0.019607843,0,29.925
1,-82,-82.20833333,-67.18604651,-84.52272727,-65.425,-84,,0,0,0,0,34.575
0,-82,-80.07843137,-85.83333333,-68.60465116,-92,-70.075,,0.037735849,0.018867925,0.019607843,0,29.925
0,-82,-82.20833333,-67.18604651,-84.52272727,-65.425,-84,,0,0,0,0,34.575
1,-82,-79.87755102,-81.6,-66.14893617,-92,-69.85,,0.040816327,0,0.040816327,0,30.15
1,-82,-81,-66.63829787,-83.9787234,-64.625,-76.61764706,,0,0,0,0,35.375
0,-82,-79.87755102,-81.6,-66.14893617,-92,-69.85,,0.040816327,0,0.040816327,0,30.15
0,-82,-81,-66.63829787,-83.9787234,-64.625,-76.61764706,,0,0,0,0,35.375
1,-82,-79.03921569,-81.75,-66.63636364,-92,-67.725,,0.057692308,0,0,0,32.275
1,-82,-79.55102041,-65.3902439,-83.52380952,-63.575,-84,,0.038461538,0,0.02,0,36.425
0,-82,-79.03921569,-81.75,-66.63636364,-92,-67.725,,0.057692308,0,0,0,32.275
0,-82,-79.55102041,-65.3902439,-83.52380952,-63.575,-84,,0.038461538,0,0.02,0,36.425
1,-82,-77.67391304,-86.27272727,-66.14,-92,-64.55,,0.347826087,0,0,0,35.45
1,-82,-79.77358491,-62.87234043,-84.4893617,-61.35,-77.33333333,,0.017241379,0.017241379,0.019230769,0,38.65
0,-82,-77.67391304,-86.27272727,-66.14,-92,-64.55,,0.347826087,0,0,0,35.45
0,-82,-79.77358491,-62.87234043,-84.4893617,-61.35,-77.33333333,,0.017241379,0.017241379,0.019230769,0,38.65
1,-82,-76.75,-84.14285714,-65.33333333,-92,-63.75,,0.68,0,0,2,28.25
1,-82,-77.79166667,-62.46938776,-85.15217391,-60.8,-76,,0.156862745,0,0,0,39.2
0,-82,-76.75,-84.14285714,-65.33333333,-92,-63.75,,0.68,0,0,2,28.25
0,-82,-77.79166667,-62.46938776,-85.15217391,-60.8,-76,,0.156862745,0,0,0,39.2
1,-82,-75.7826087,-84.6,-67.02040816,-92,-61.85,,0.8125,0,0,2,30.15
1,-82,-78.06122449,-62.78723404,-84.29787234,-59.625,-79.45454545,,0.018518519,0,0,0,40.375
0,-82,-75.7826087,-84.6,-67.02040816,-92,-61.85,,0.8125,0,0,2,30.15
0,-82,-78.06122449,-62.78723404,-84.29787234,-59.625,-79.45454545,,0.018518519,0,0,0,40.375
1,-82,-74.28571429,-80.71428571,-68.42553191,-92,-63,,0.909090909,0,0.428571429,2,29
1,-82,-77.33333333,-62.71428571,-84.16666667,-58.6,-76,,0.2,0,0,0,41.4
0,-82,-74.28571429,-80.71428571,-68.42553191,-92,-63,,0.909090909,0,0.428571429,2,29
0,-82,-77.33333333,-62.71428571,-84.16666667,-58.6,-76,,0.2,0,0,0,41.4
1,-82,-72.97368421,-81.28571429,-65,-92,-56.875,,0.846153846,0.025641026,0.868421053,1,35.125
1,-82,-75.56818182,-64.82978723,-83.81818182,-57.8,-76,,0.760869565,0,0,2,18.2
0,-82,-72.97368421,-81.28571429,-65,-92,-56.875,,0.846153846,0.025641026,0.868421053,1,35.125
0,-82,-75.56818182,-64.82978723,-83.81818182,-57.8,-76,,0.760869565,0,0,2,18.2
1,-82,-73.34883721,-79.25,-65.65217391,-92,-56.975,,0.886363636,0,0.88372093,1,35.025
1,-82,-75.53488372,-63.17777778,-84.28571429,-56.675,-75.975,,0.698113208,0,0.111111111,2,19.3
0,-82,-73.34883721,-79.25,-65.65217391,-92,-56.975,,0.886363636,0,0.88372093,1,35.025
0,-82,-75.53488372,-63.17777778,-84.28571429,-56.675,-75.975,,0.698113208,0,0.111111111,2,19.3
1,-82,-72.375,-82.73333333,-66.04444444,-92,-54.925,,0.88,0,0.854166667,1,37.075
1,-82,-74.70454545,-67.06382979,-81.60869565,-62.275,-75.41025641,,0.8,0,0.568181818,1,13.13525641
0,-82,-72.375,-82.73333333,-66.04444444,-92,-54.925,,0.88,0,0.854166667,1,37.075
0,-82,-74.70454545,-67.06382979,-81.60869565,-62.275,-75.41025641,,0.8,0,0.568181818,1,13.13525641
1,-82,-69.18,-81.4,-65.47916667,-92,-53.4,,0.923076923,0,0.94,1,38.6
1,-82,-74.53846154,-68.11111111,-82.2,-60.65,-75.475,,0.804347826,0,0.666666667,1,14.825
0,-82,-69.18,-81.4,-65.47916667,-92,-53.4,,0.923076923,0,0.94,1,38.6
0,-82,-74.53846154,-68.11111111,-82.2,-60.65,-75.475,,0.804347826,0,0.666666667,1,14.825
1,-82,-70.13513514,-80.625,-66.33333333,-92,-53.925,,0.947368421,0,0.945945946,1,38.075
1,-82,-72.55813953,-66.07317073,-83.19148936,-59.25,-74.875,,0.854166667,0,0.906976744,1,15.625
0,-82,-70.13513514,-80.625,-66.33333333,-92,-53.925,,0.947368421,0,0.945945946,1,38.075
0,-82,-72.55813953,-66.07317073,-83.19148936,-59.25,-74.875,,0.854166667,0,0.906976744,1,15.625
1,-82,-69.65909091,-85.6,-67.8125,-92,-54.05,,0.955555556,0,0.954545455,1,37.95
1,-82,-71.08695652,-66.45833333,-81.78723404,-54.6,-72.56410256,,0.86,0,0.913043478,1,17.96410256
0,-82,-69.65909091,-85.6,-67.8125,-92,-54.05,,0.955555556,0,0.954545455,1,37.95
0,-82,-71.08695652,-66.45833333,-81.78723404,-54.6,-72.56410256,,0.86,0,0.913043478,1,17.96410256
1,-82,-70.76744186,-79.31578947,-68.04,-84.33333333,-53.825,,0.904761905,0,0.860465116,1,30.50833333
1,-82,-70.4047619,-65.89361702,-81.27083333,-54.025,-70.45,,0.833333333,0,0.928571429,1,16.425
1,-82,-67.81395349,-79.16666667,-68.26086957,-84.96428571,-53.55,,0.933333333,0,0.953488372,1,31.41428571
1,-82,-69.36363636,-67.65217391,-82.17021277,-52.975,-70.89473684,,0.796296296,0,0.954545455,1,17.91973684
0,-82,-67.81395349,-79.16666667,-68.26086957,-84.96428571,-53.55,,0.933333333,0,0.953488372,1,31.41428571
0,-82,-69.36363636,-67.65217391,-82.17021277,-52.975,-70.89473684,,0.796296296,0,0.954545455,1,17.91973684
1,-82,-66.17073171,-82.7,-67.40816327,-84.225,-52.6,,0.953488372,0,0.975609756,1,31.625
1,-82,-67.51219512,-64.93877551,-81.12765957,-51.975,-70.5,,0.784313725,0,0.975609756,1,18.525
0,-82,-66.17073171,-82.7,-67.40816327,-84.225,-52.6,,0.953488372,0,0.975609756,1,31.625
0,-82,-67.51219512,-64.93877551,-81.12765957,-51.975,-70.5,,0.784313725,0,0.975609756,1,18.525
1,-82,-66.3902439,-82.35294118,-66.7173913,-79.28947368,-53.375,,1,0,0.975609756,1,25.91447368
1,-82,-68.46808511,-66.16,-82.73913043,-51.9,-68.74358974,,0.936170213,0,0.936170213,1,16.84358974
1,-82,-64.74358974,-74.22222222,-67.8,-82.45714286,-51.25,,0.925,0,0.948717949,1,31.20714286
1,-82,-67.975,-67.94339623,-81.72,-50.325,-70.05263158,,0.791666667,0,0.925,1,19.72763158
0,-82,-64.74358974,-74.22222222,-67.8,-82.45714286,-51.25,,0.925,0,0.948717949,1,31.20714286
0,-82,-67.975,-67.94339623,-81.72,-50.325,-70.05263158,,0.791666667,0,0.925,1,19.72763158
