protocol,nav,ap_from_ap_0_sum_ant_rssi,ap_from_ap_1_sum_ant_rssi,sta_to_ap_0_sum_ant_rssi,sta_to_ap_1_sum_ant_rssi,sta_to_ap_2_sum_ant_rssi,sta_from_ap_0_sum_ant_rssi,sta_from_ap_1_sum_ant_rssi,sta_from_ap_2_sum_ant_rssi,sta_from_sta_0_rssi,sta_from_sta_1_rssi,seq_time,pro_pd_0,pro_ed_0,pro_nav_0,pro_pd_1,pro_ed_1,pro_nav_1,state,sinr
tcp,-86,-80.9978022,-83.67640449,-77.4765625,-78.93164557,-59.80653266,-74.98245614,-76.08,-61.11666667,-77,-65,,0.067245119,0,0.07826087,0.10745614,0.002192982,0.0969163,2,11.36968207
tcp,-86,-83.44591611,-85.03971963,-86.52411576,-66.19069767,-79.33256881,-92,-69.05,-82.22727273,-74,-66,,0.015283843,0.002183406,0.013129103,0.08254717,0,0.065759637,2,12.74218618
tcp,-86,-83.43167028,-80.39277652,-62.66129032,-83.25866667,-75,-65.9,-92,-76,-72,-78,,0.004149378,0,0.004273504,0.087527352,0.004376368,0.086859688,2,9.992257745
udp,-86,-80.9978022,-83.67640449,-77.4765625,-78.93164557,-59.80653266,-74.98245614,-76.08,-61.11666667,-77,-65,,0.067245119,0,0.07826087,0.10745614,0.002192982,0.0969163,2,11.36968207
udp,-86,-83.44591611,-85.03971963,-86.52411576,-66.19069767,-79.33256881,-92,-69.05,-82.22727273,-74,-66,,0.015283843,0.002183406,0.013129103,0.08254717,0,0.065759637,2,12.74218618
udp,-86,-83.43167028,-80.39277652,-62.66129032,-83.25866667,-75,-65.9,-92,-76,-72,-78,,0.004149378,0,0.004273504,0.087527352,0.004376368,0.086859688,2,9.992257745
tcp,-86,-78.49891068,-84.06681514,-77.06138107,-79.10617284,-60,-74.9,-75.86363636,-60.98333333,-77,-65,,0.364628821,0.004366812,0.137254902,0.065645514,0.002188184,0.047826087,2,11.36151243
tcp,-86,-83.03340757,-84.75534442,-86.26380368,-65.54929577,-80.35321101,-92,-68.93333333,-78.66666667,-74,-66,,0.015184382,0.002169197,0.006564551,0.071264368,0,0.062645012,2,9.536290082
tcp,-86,-82.8377193,-78.96728972,-62.86849315,-83.29679144,-75.13927577,-65.01666667,-92,-75.69642857,-72,-78,,0.008510638,0.00212766,0.008658009,0.123042506,0,0.123255814,2,10.5792101
tcp,-86,-78.15250545,-83.19153675,-76.34474328,-78.56363636,-59.71321696,-74.34210526,-75,-59.98333333,-77,-65,,0.318082789,0,0.220043573,0.085339168,0.006564551,0.052516411,2,11.66497352
tcp,-86,-82.65848214,-83.99277108,-86.16838488,-65.62412993,-80.97241379,-92,-69.21666667,-75,-74,-66,,0.013186813,0,0.004405286,0.097902098,0,0.087264151,2,5.697533341
tcp,-86,-82.04910714,-78.81279621,-62.50819672,-83.56476684,-75.47135417,-64,-82,-75.52542373,-72,-78,,0.010752688,0.004301075,0.013129103,0.128805621,0.004683841,0.111111111,2,10.64340166
udp,-86,-78.15250545,-83.19153675,-76.34474328,-78.56363636,-59.71321696,-74.34210526,-75,-59.98333333,-77,-65,,0.318082789,0,0.220043573,0.085339168,0.006564551,0.052516411,2,11.66497352
udp,-86,-82.65848214,-83.99277108,-86.16838488,-65.62412993,-80.97241379,-92,-69.21666667,-75,-74,-66,,0.013186813,0,0.004405286,0.097902098,0,0.087264151,2,5.697533341
udp,-86,-82.04910714,-78.81279621,-62.50819672,-83.56476684,-75.47135417,-64,-82,-75.52542373,-72,-78,,0.010752688,0.004301075,0.013129103,0.128805621,0.004683841,0.111111111,2,10.64340166
tcp,-86,-78.98241758,-82.5258427,-77.23484848,-78.05384615,-59.69541779,-74,-74.55,-58.96666667,-77,-65,,0.082969432,0.002183406,0.087527352,0.048565121,0,0.037362637,2,12.28933254
tcp,-86,-81.98855835,-83.20813397,-86.10526316,-66.00681818,-79.93598234,-92,-65.4,-76.125,-74,-66,,0.018018018,0,0.013574661,0.12037037,0,0.11971831,2,10.61415143
tcp,-86,-81.265625,-78.1291866,-62.73497268,-82.87272727,-75.0492228,-62.98333333,-92,-74.98245614,-72,-78,,0.006535948,0.006535948,0.006593407,0.171693735,0.004640371,0.167865707,2,11.91366533
tcp,-86,-77.04656319,-81.44071588,-76.58252427,-77.82901554,-60.68364611,-73.31666667,-92,-57.93333333,-77,-65,,0.270509978,0.00443459,0.561946903,0.063318777,0,0.059340659,2,15.32491799
tcp,-86,-80.80821918,-82.70967742,-85.86979167,-66.70880361,-80.86394558,-92,-66.4,-75.01785714,-74,-66,,0.020179372,0.002242152,0.006802721,0.089156627,0,0.083333333,2,8.531707119
tcp,-86,-80.84401709,-78.01927711,-61.455,-82.41219512,-74.60869565,-61.96666667,-92,-73.13559322,-72,-78,,0.004158004,0.002079002,0.006355932,0.128504673,0,0.233173077,2,11.11288136
udp,-86,-77.04656319,-81.44071588,-76.58252427,-77.82901554,-60.68364611,-73.31666667,-92,-57.93333333,-77,-65,,0.270509978,0.00443459,0.561946903,0.063318777,0,0.059340659,2,15.32491799
udp,-86,-80.80821918,-82.70967742,-85.86979167,-66.70880361,-80.86394558,-92,-66.4,-75.01785714,-74,-66,,0.020179372,0.002242152,0.006802721,0.089156627,0,0.083333333,2,8.531707119
udp,-86,-80.84401709,-78.01927711,-61.455,-82.41219512,-74.60869565,-61.96666667,-92,-73.13559322,-72,-78,,0.004158004,0.002079002,0.006355932,0.128504673,0,0.233173077,2,11.11288136
tcp,-86,-76.41324201,-81.61368653,-77.43877551,-78.16071429,-60.21173469,-73,-73.96296296,-56.7,-77,-65,,0.493150685,0.00456621,0.853881279,0.070175439,0.004385965,0.052631579,0,43.3
tcp,-86,-79.73831776,-81.59708738,-86.28691983,-67.18561485,-80.98444444,-92,-66.05,-75.01694915,-74,-66,,0.034482759,0.002298851,0.018648019,0.111111111,0,0.113253012,2,8.880816961
tcp,-86,-79.64113786,-77.01869159,-63.60869565,-83.13592233,-76.13354037,-60.6,-92,-73.55,-72,-78,,0.010940919,0.004376368,0.017467249,0.187782805,0,0.625581395,2,12.8883831
udp,-86,-76.41324201,-81.61368653,-77.43877551,-78.16071429,-60.21173469,-73,-73.96296296,-56.7,-77,-65,,0.493150685,0.00456621,0.853881279,0.070175439,0.004385965,0.052631579,0,43.3
udp,-86,-79.73831776,-81.59708738,-86.28691983,-67.18561485,-80.98444444,-92,-66.05,-75.01694915,-74,-66,,0.034482759,0.002298851,0.018648019,0.111111111,0,0.113253012,2,8.880816961
udp,-86,-79.64113786,-77.01869159,-63.60869565,-83.13592233,-76.13354037,-60.6,-92,-73.55,-72,-78,,0.010940919,0.004376368,0.017467249,0.187782805,0,0.625581395,2,12.8883831
tcp,-86,-74.48104265,-80.20620843,-77.35555556,-77.7960199,-60.19154229,-72.94915254,-74,-56.3,-77,-65,,0.943127962,0.004739336,0.971563981,0.070175439,0,0.055066079,0,43.7
tcp,-86,-78.60431655,-81.43835616,-85.79723502,-67.27058824,-79.74222222,-92,-65.5,-74.38596491,-74,-66,,0.035629454,0.004750594,0.09352518,0.089686099,0,0.082959641,2,8.811380811
tcp,-86,-77.87912088,-76.00229885,-61.89613527,-82.90510949,-74.40096618,-59.63333333,-92,-72.72413793,-72,-78,,0.136956522,0.002173913,0.398678414,0.572383073,0.004454343,0.956321839,2,13.03979579
udp,-86,-74.48104265,-80.20620843,-77.35555556,-77.7960199,-60.19154229,-72.94915254,-74,-56.3,-77,-65,,0.943127962,0.004739336,0.971563981,0.070175439,0,0.055066079,0,43.7
udp,-86,-78.60431655,-81.43835616,-85.79723502,-67.27058824,-79.74222222,-92,-65.5,-74.38596491,-74,-66,,0.035629454,0.004750594,0.09352518,0.089686099,0,0.082959641,2,8.811380811
udp,-86,-77.87912088,-76.00229885,-61.89613527,-82.90510949,-74.40096618,-59.63333333,-92,-72.72413793,-72,-78,,0.136956522,0.002173913,0.398678414,0.572383073,0.004454343,0.956321839,2,13.03979579
tcp,-86,-74.83213429,-79.87527352,-77.30555556,-78.1061008,-59.82908163,-72.3,-72.98214286,-55.03333333,-77,-65,,0.944976077,0.002392344,0.96875,0.071274298,0.004319654,0.05399568,0,44.96666667
tcp,-86,-77.77884615,-80.28960396,-85.57746479,-67.22327791,-81.10454545,-92,-63.65,-73.7,-74,-66,,0.276190476,0,0.512019231,0.104622871,0,0.105651106,2,9.986233572
tcp,-86,-78.13478261,-74.45862884,-61.62,-83.02216749,-74.56009615,-58.41666667,-92,-72.01666667,-72,-78,,0.044776119,0.004264392,0.335511983,0.913043478,0.00228833,0.969267139,1,13.55662093
udp,-86,-74.83213429,-79.87527352,-77.30555556,-78.1061008,-59.82908163,-72.3,-72.98214286,-55.03333333,-77,-65,,0.944976077,0.002392344,0.96875,0.071274298,0.004319654,0.05399568,0,44.96666667
udp,-86,-77.77884615,-80.28960396,-85.57746479,-67.22327791,-81.10454545,-92,-63.65,-73.7,-74,-66,,0.276190476,0,0.512019231,0.104622871,0,0.105651106,2,9.986233572
udp,-86,-78.13478261,-74.45862884,-61.62,-83.02216749,-74.56009615,-58.41666667,-92,-72.01666667,-72,-78,,0.044776119,0.004264392,0.335511983,0.913043478,0.00228833,0.969267139,1,13.55662093
tcp,-86,-72.99294118,-80.01096491,-76.52141058,-78.33170732,-60.35340314,-70.73333333,-72.94915254,-54.8,-77,-65,,0.985882353,0,0.976470588,0.063180828,0.004357298,0.06768559,0,45.2
tcp,-86,-77.70257611,-80.17794486,-85.60640732,-67.02528736,-79.367713,-92,-63.86666667,-73.27118644,-74,-66,,0.144186047,0,0.587822014,0.109756098,0,0.112219451,2,9.346708944
tcp,-86,-77.16740088,-73.70644391,-61.99,-82.6937799,-74.66748166,-57.45,-76,-71,-72,-78,,0.362850972,0.004319654,0.720879121,0.933486239,0,0.959427208,1,12.35668952
tcp,-86,-73.04796163,-78.12307692,-76.62842893,-77.3159204,-60.22857143,-69,-71.76666667,-52.71666667,-77,-65,,0.995203837,0,0.983213429,0.156043956,0.004395604,0.190789474,0,47.28333333
tcp,-86,-76.50956938,-78.51674641,-85.18693694,-66.78636364,-79.54504505,-92,-62.95,-72.2745098,-74,-66,,0.674584323,0,0.868735084,0.142517815,0,0.126794258,0,37.05
tcp,-86,-76.83370787,-72.16546763,-61.50608273,-82.74038462,-74.58711217,-55.38333333,-74.94444444,-70.55932203,-72,-78,,0.242825607,0.002207506,0.853932584,0.96713615,0.002347418,0.980769231,1,13.82681357
udp,-86,-73.04796163,-78.12307692,-76.62842893,-77.3159204,-60.22857143,-69,-71.76666667,-52.71666667,-77,-65,,0.995203837,0,0.983213429,0.156043956,0.004395604,0.190789474,0,47.28333333
udp,-86,-76.50956938,-78.51674641,-85.18693694,-66.78636364,-79.54504505,-92,-62.95,-72.2745098,-74,-66,,0.674584323,0,0.868735084,0.142517815,0,0.126794258,0,37.05
udp,-86,-76.83370787,-72.16546763,-61.50608273,-82.74038462,-74.58711217,-55.38333333,-74.94444444,-70.55932203,-72,-78,,0.242825607,0.002207506,0.853932584,0.96713615,0.002347418,0.980769231,1,13.82681357
tcp,-86,-70.81944444,-78.30715935,-76.80856423,-78.55012225,-60.12335958,-69.23728814,-71.05,-51.73333333,-77,-65,,0.988452656,0.002309469,0.981481481,0.131034483,0.002298851,0.165517241,0,48.26666667
tcp,-86,-74.91803279,-78.01678657,-85.43942993,-67.48642534,-79.8098434,-92,-61.35,-72.28813559,-74,-66,,0.898148148,0,0.93442623,0.179069767,0.002325581,0.204326923,0,38.65
tcp,-86,-75.00884956,-70.98786408,-61.9569378,-82.18028846,-74.41050119,-55.6,-74.39285714,-69.05,-72,-78,,0.86214442,0.004376368,0.957871397,0.955503513,0.00234192,0.985436893,1,12.33662558
udp,-86,-70.81944444,-78.30715935,-76.80856423,-78.55012225,-60.12335958,-69.23728814,-71.05,-51.73333333,-77,-65,,0.988452656,0.002309469,0.981481481,0.131034483,0.002298851,0.165517241,0,48.26666667
udp,-86,-74.91803279,-78.01678657,-85.43942993,-67.48642534,-79.8098434,-92,-61.35,-72.28813559,-74,-66,,0.898148148,0,0.93442623,0.179069767,0.002325581,0.204326923,0,38.65
udp,-86,-75.00884956,-70.98786408,-61.9569378,-82.18028846,-74.41050119,-55.6,-74.39285714,-69.05,-72,-78,,0.86214442,0.004376368,0.957871397,0.955503513,0.00234192,0.985436893,1,12.33662558
tcp,-86,-71.0501139,-76.14874142,-76.22365039,-77.67245658,-60.57506361,-68.73333333,-70.73333333,-50.65,-77,-65,,0.988610478,0.002277904,0.986332574,0.794520548,0.00456621,0.908675799,1,15.95890731
tcp,-86,-74.7546729,-77.28992629,-85.51515152,-67.04867257,-79.58758315,-92,-60.65,-71.36206897,-74,-66,,0.918981481,0,0.939393939,0.296568627,0,0.446078431,0,39.35
tcp,-86,-74.23234624,-70.60199005,-62.2853717,-83.15238095,-74.90261283,-54.7,-75.94915254,-68.98333333,-72,-78,,0.913716814,0.004424779,0.947488584,0.963768116,0.002415459,0.992518703,1,13.4875316
tcp,-86,-69.51173709,-74.83606557,-76.19856459,-77.75765306,-60.07571802,-66.9,-69.1,-49.36666667,-77,-65,,0.997652582,0,0.992957746,0.96728972,0,0.962529274,1,15.48519147
tcp,-86,-73.14975845,-76.17798595,-85.5297619,-66.24193548,-79.890625,-92,-58.93333333,-71.32142857,-74,-66,,0.933174224,0,0.942168675,0.531177829,0,0.929742389,1,12.35110591
tcp,-86,-73.29508197,-69.26213592,-61.73710074,-83.05660377,-78.33743842,-54.25,-74.41818182,-68.01724138,-72,-78,,0.946511628,0,0.93911007,0.971563981,0,0.992718447,1,12.87159123
tcp,-86,-69.9784689,-75.01913876,-75.72681704,-77.42183623,-60.30478589,-66.35,-68.34482759,-47.73333333,-77,-65,,0.980906921,0,0.971291866,0.954653938,0,0.985645933,1,16.49023889
tcp,-86,-73.30548926,-75.25247525,-84.45915493,-66.83747178,-79.63348416,-92,-58.08333333,-71.1,-74,-66,,0.934117647,0,0.935560859,0.764127764,0,0.965346535,1,12.98150858
tcp,-86,-73.16904762,-69.26682692,-61.32116788,-83.49275362,-78.03422983,-53.01666667,-76.07894737,-70.08474576,-72,-78,,0.93911007,0.004683841,0.928741093,0.953703704,0,0.975961538,1,16.09368645
tcp,-86,-69.72663551,-73.66745843,-76.08009709,-77.26075949,-60.32911392,-64.96666667,-68.01694915,-47.33333333,-77,-65,,0.976689977,0,0.974299065,0.978622328,0.004750594,0.962085308,1,15.8857074
tcp,-86,-71.94951923,-74.39408867,-84.17272727,-66.02336449,-79.4638009,-92,-56.43333333,-70.40677966,-74,-66,,0.924170616,0.002369668,0.930455635,0.943902439,0,0.972972973,1,13.94345733
tcp,-86,-71.50487805,-68.62,-60.8377724,-83.19184652,-77.72727273,-52.05,-75.07142857,-69.63333333,-72,-78,,0.938679245,0.007075472,0.958536585,0.968215159,0.004889976,0.985037406,1,16.49131402
udp,-86,-69.72663551,-73.66745843,-76.08009709,-77.26075949,-60.32911392,-64.96666667,-68.01694915,-47.33333333,-77,-65,,0.976689977,0,0.974299065,0.978622328,0.004750594,0.962085308,1,15.8857074
udp,-86,-71.94951923,-74.39408867,-84.17272727,-66.02336449,-79.4638009,-92,-56.43333333,-70.40677966,-74,-66,,0.924170616,0.002369668,0.930455635,0.943902439,0,0.972972973,1,13.94345733
udp,-86,-71.50487805,-68.62,-60.8377724,-83.19184652,-77.72727273,-52.05,-75.07142857,-69.63333333,-72,-78,,0.938679245,0.007075472,0.958536585,0.968215159,0.004889976,0.985037406,1,16.49131402
tcp,-86,-68.58033573,-72.44626168,-75.81294964,-77.12311558,-60.93565684,-65.74576271,-66.65517241,-46.03333333,-77,-65,,0.995203837,0.002398082,0.988009592,0.978971963,0.011682243,0.969626168,1,17.13307391
tcp,-86,-70.8236715,-73.69953052,-84.9250646,-65.56422018,-79.14253394,-92,-57.45,-70.20338983,-74,-66,,0.959330144,0.004784689,0.949275362,0.956221198,0,0.976525822,1,12.72476839
tcp,-86,-70.57894737,-67.97136038,-62.7408313,-83.28536585,-77.65789474,-51,-74.10344828,-68.62711864,-72,-78,,0.951162791,0.006976744,0.952380952,0.96713615,0.007042254,0.983293556,1,16.54357074
tcp,-86,-67.03465347,-71.64251208,-75.48292683,-77.72474747,-60.67341772,-64.87931034,-65.42372881,-45.06666667,-77,-65,,0.982716049,0.004938272,0.97029703,0.983091787,0.012077295,0.97826087,1,17.0660277
tcp,-86,-70.52267303,-72.7535545,-84.99714286,-66.05517241,-78.92954545,-82,-54.93333333,-69.30508475,-74,-66,,0.952606635,0,0.949880668,0.96969697,0,0.981042654,1,14.14430921
tcp,-86,-69.60774818,-67.66341463,-61.14425428,-83.43932039,-77.5,-50.98333333,-74.52631579,-66.78333333,-72,-78,,0.938534279,0,0.961165049,0.948477752,0.00234192,0.987804878,1,15.12500684
udp,-86,-67.03465347,-71.64251208,-75.48292683,-77.72474747,-60.67341772,-64.87931034,-65.42372881,-45.06666667,-77,-65,,0.982716049,0.004938272,0.97029703,0.983091787,0.012077295,0.97826087,1,17.0660277
udp,-86,-70.52267303,-72.7535545,-84.99714286,-66.05517241,-78.92954545,-82,-54.93333333,-69.30508475,-74,-66,,0.952606635,0,0.949880668,0.96969697,0,0.981042654,1,14.14430921
udp,-86,-69.60774818,-67.66341463,-61.14425428,-83.43932039,-77.5,-50.98333333,-74.52631579,-66.78333333,-72,-78,,0.938534279,0,0.961165049,0.948477752,0.00234192,0.987804878,1,15.12500684
tcp,-86,-65.875,-70.51658768,-75.22564103,-77.65609756,-59.89175258,-63.31666667,-64.16666667,-45.26666667,-77,-65,,0.992941176,0.002352941,0.988235294,0.974056604,0.002358491,0.973933649,1,15.44393793
tcp,-86,-68.91133005,-71.78042959,-83.74770642,-66.21281465,-79.53932584,-74.72881356,-53.71666667,-66.4137931,-74,-66,,0.9513382,0,0.958230958,0.985781991,0.002369668,0.990453461,1,12.09997738
tcp,-86,-69.54457831,-65.43583535,-62.30170316,-83.56594724,-76.97189696,-50.25,-73.5,-66.96551724,-72,-78,,0.914691943,0,0.927884615,0.964871194,0.00234192,0.995169082,1,15.84444405
udp,-86,-65.875,-70.51658768,-75.22564103,-77.65609756,-59.89175258,-63.31666667,-64.16666667,-45.26666667,-77,-65,,0.992941176,0.002352941,0.988235294,0.974056604,0.002358491,0.973933649,1,15.44393793
udp,-86,-68.91133005,-71.78042959,-83.74770642,-66.21281465,-79.53932584,-74.72881356,-53.71666667,-66.4137931,-74,-66,,0.9513382,0,0.958230958,0.985781991,0.002369668,0.990453461,1,12.09997738
udp,-86,-69.54457831,-65.43583535,-62.30170316,-83.56594724,-76.97189696,-50.25,-73.5,-66.96551724,-72,-78,,0.914691943,0,0.927884615,0.964871194,0.00234192,0.995169082,1,15.84444405
tcp,-86,-65.4842615,-68.75735294,-75.4754902,-77.30325815,-59.92658228,-63.36666667,-63,-44,-77,-65,,0.990338164,0,0.983091787,0.990196078,0.00245098,0.990196078,1,16.1691649
tcp,-86,-67.63961814,-70.06097561,-84.04,-65.81348315,-78.20501139,-75.62068966,-52.63333333,-67.18965517,-74,-66,,0.931603774,0,0.937947494,0.98783455,0,0.987804878,1,13.97390411
tcp,-86,-68.35024155,-64.46746988,-61.28502415,-83.05952381,-77.53012048,-49,-73.61403509,-66.86440678,-72,-78,,0.927400468,0.007025761,0.946987952,0.940503432,0,0.990361446,1,17.03164942
udp,-86,-65.4842615,-68.75735294,-75.4754902,-77.30325815,-59.92658228,-63.36666667,-63,-44,-77,-65,,0.990338164,0,0.983091787,0.990196078,0.00245098,0.990196078,1,16.1691649
udp,-86,-67.63961814,-70.06097561,-84.04,-65.81348315,-78.20501139,-75.62068966,-52.63333333,-67.18965517,-74,-66,,0.931603774,0,0.937947494,0.98783455,0,0.987804878,1,13.97390411
udp,-86,-68.35024155,-64.46746988,-61.28502415,-83.05952381,-77.53012048,-49,-73.61403509,-66.86440678,-72,-78,,0.927400468,0.007025761,0.946987952,0.940503432,0,0.990361446,1,17.03164942
tcp,-86,-66.02469136,-68.37717122,-74.11510791,-76.94613583,-59.18203883,-62.3,-63.06666667,-43.06666667,-77,-65,,0.987684729,0.004926108,0.977777778,0.990123457,0.004938272,0.990123457,1,16.58947103
tcp,-86,-66.81642512,-69.47242206,-84.09638554,-66.13242009,-79.25221239,-74.98275862,-51.31666667,-67.27118644,-74,-66,,0.938095238,0,0.95157385,0.978773585,0,0.988038278,1,15.27499118
tcp,-86,-66.90394089,-65.55180723,-61.45811518,-82.86552567,-77.01703163,-47.41666667,-70.83333333,-66.03389831,-72,-78,,0.940617577,0.007125891,0.968058968,0.962441315,0.002347418,0.987951807,1,17.37488272
udp,-86,-66.02469136,-68.37717122,-74.11510791,-76.94613583,-59.18203883,-62.3,-63.06666667,-43.06666667,-77,-65,,0.987684729,0.004926108,0.977777778,0.990123457,0.004938272,0.990123457,1,16.58947103
udp,-86,-66.81642512,-69.47242206,-84.09638554,-66.13242009,-79.25221239,-74.98275862,-51.31666667,-67.27118644,-74,-66,,0.938095238,0,0.95157385,0.978773585,0,0.988038278,1,15.27499118
udp,-86,-66.90394089,-65.55180723,-61.45811518,-82.86552567,-77.01703163,-47.41666667,-70.83333333,-66.03389831,-72,-78,,0.940617577,0.007125891,0.968058968,0.962441315,0.002347418,0.987951807,1,17.37488272
tcp,-86,-62.66339066,-69.10895884,-74.79643766,-77.6010101,-60.15324675,-60.98305085,-61.66101695,-41.75,-77,-65,,0.995098039,0.004901961,0.987714988,0.985507246,0.002415459,0.985472155,1,16.54851791
tcp,-86,-65.36523929,-69.87223587,-82.67757009,-66.33949192,-79.75505618,-74.98305085,-52.26666667,-64.98275862,-74,-66,,0.972636816,0,0.982367758,0.990220049,0,0.995085995,1,12.30219167
tcp,-86,-66.04156479,-63.89242054,-60.78908189,-82.61722488,-76.85679612,-47.63333333,-71.35714286,-65.4,-72,-78,,0.938823529,0.004705882,0.975550122,0.959427208,0.007159905,0.980487805,1,16.78480073
udp,-86,-62.66339066,-69.10895884,-74.79643766,-77.6010101,-60.15324675,-60.98305085,-61.66101695,-41.75,-77,-65,,0.995098039,0.004901961,0.987714988,0.985507246,0.002415459,0.985472155,1,16.54851791
udp,-86,-65.36523929,-69.87223587,-82.67757009,-66.33949192,-79.75505618,-74.98305085,-52.26666667,-64.98275862,-74,-66,,0.972636816,0,0.982367758,0.990220049,0,0.995085995,1,12.30219167
udp,-86,-66.04156479,-63.89242054,-60.78908189,-82.61722488,-76.85679612,-47.63333333,-71.35714286,-65.4,-72,-78,,0.938823529,0.004705882,0.975550122,0.959427208,0.007159905,0.980487805,1,16.78480073
