,protocol,nav,ap_from_other_sum_ant_rssi,sta_to_self_sum_ant_rssi,sta_to_other_sum_ant_rssi,sta_from_self_sum_ant_rssi,sta_from_other_sum_ant_rssi,sta_from_sta_rssi,nss,mcs,per,seq_time,pro_pd,pro_ed,pro_nav,state,phy,ppdu_dur
1,1,-82,-84.4047619,-57.6097561,-86.6,-61.2,-92,-85,2,11,0.03,49.74,0,0,0,1,286.8,0.003929289
3,0,-82,-84.4047619,-57.6097561,-86.6,-61.2,-92,-85,2,11,0.01,51.5,0,0,0,1,286.8,0.003835147
5,1,-82,-83.39130435,-59.21428571,-83.77272727,-60.25,-92,-85,2,11,0.02,50.56,0.06122449,0,0,1,286.8,0.004397205
7,0,-82,-83.39130435,-59.21428571,-83.77272727,-60.25,-92,-85,2,11,0.02,51.65,0.06122449,0,0,1,286.8,0.004237925
9,1,-82,-82.83333333,-57.86363636,-86.64705882,-59.625,-92,-85,2,11,0.03,48.47,0.04,0,0,1,286.8,0.003938199
11,0,-82,-82.83333333,-57.86363636,-86.64705882,-59.625,-92,-85,2,11,0.01,51.37,0.04,0,0,1,286.8,0.003939789
13,1,-82,-82.13333333,-57.81818182,-85.66666667,-58.525,-92,-85,2,11,0.05,49.35,0.054545455,0,0,1,286.8,0.004333691
15,0,-82,-82.13333333,-57.81818182,-85.66666667,-58.525,-92,-85,2,11,0.02,51.16,0.054545455,0,0,1,286.8,0.004185673
17,1,-82,-82.13636364,-58.12765957,-84.15,-57.775,-92,-85,2,11,0.04,49.3,0.021276596,0,0,1,286.8,0.003778546
19,0,-82,-82.13636364,-58.12765957,-84.15,-57.775,-92,-85,2,11,0.02,50.83,0.021276596,0,0,1,286.8,0.003820083
21,1,-82,-81.26190476,-57.35714286,-83.23529412,-55.975,-86,-85,2,11,0.04,49.14,0.019230769,0,0,1,286.8,0.004174248
23,0,-82,-81.26190476,-57.35714286,-83.23529412,-55.975,-86,-85,2,11,0.02,50.9,0.019230769,0,0,1,286.8,0.004201758
25,1,-82,-81.68085106,-59.61904762,-84.85,-54.625,-92,-85,2,11,0.02,48.58,0.041666667,0,0,1,286.8,0.003765349
27,0,-82,-81.68085106,-59.61904762,-84.85,-54.625,-92,-85,2,11,0.03,50.41,0.041666667,0,0,1,286.8,0.002536169
29,1,-82,-79.39534884,-58.17073171,-84.89473684,-54,-85.7,-85,2,11,0.03,49.75,0.08,0,0.023255814,1,286.8,0.004153833
31,0,-82,-79.39534884,-58.17073171,-84.89473684,-54,-85.7,-85,2,11,0.01,50.97,0.08,0,0.023255814,1,286.8,0.004202925
33,1,-82,-78.28571429,-58.55,-84,-53.025,-84.5,-85,2,11,0.02,49.4,0.08,0,0.023809524,1,286.8,0.003727826
35,0,-82,-78.28571429,-58.55,-84,-53.025,-84.5,-85,2,11,0.01,51.81,0.08,0,0.023809524,1,286.8,0.002528574
37,1,-82,-77.1,-58.23913043,-85.68421053,-51.95,-85.45945946,-85,2,11,0.02,48.89,0.104166667,0,0.025,1,286.8,0.004051315
39,0,-82,-77.1,-58.23913043,-85.68421053,-51.95,-85.45945946,-85,2,11,0.01,51.76,0.104166667,0,0.025,1,286.8,0.004180842
41,1,-82,-76.90909091,-58.06666667,-84.91666667,-51,-82.725,-85,2,11,0.02,49.2,0.134615385,0,0,1,286.8,0.002452329
43,0,-82,-76.90909091,-58.06666667,-84.91666667,-51,-82.725,-85,2,11,0.01,51.54,0.134615385,0,0,1,286.8,0.00249394
45,1,-82,-76.38461538,-58.775,-83.94736842,-50.55,-76.675,-85,2,11,0.04,48.73,0.239130435,0,0,1,286.8,0.004188388
47,0,-82,-76.38461538,-58.775,-83.94736842,-50.55,-76.675,-85,2,11,0.01,51.74,0.239130435,0,0,1,286.8,0.004191925
49,1,-82,-76.30769231,-57.86666667,-83.6875,-48.975,-76.28205128,-85,2,11,0.05,49.51,0.553191489,0,0,2,286.8,0.002438228
51,0,-82,-76.30769231,-57.86666667,-83.6875,-48.975,-76.28205128,-85,2,11,0.01,51.64,0.553191489,0,0,2,286.8,0.003832592
53,1,-82,-75.29787234,-58.82051282,-79.61538462,-47.975,-76,-85,2,11,0.02,43.89,0.773584906,0,0.042553191,2,286.8,0.004170424
55,0,-82,-75.29787234,-58.82051282,-79.61538462,-47.975,-76,-85,2,11,0.01,45.73,0.773584906,0,0.042553191,2,286.8,0.004060075
57,1,-82,-74.4,-57.19444444,-78.2,-46.05,-76.425,-85,2,11,0.02,36.5,0.843137255,0,0.222222222,2,286.8,0.002435576
59,1,-82,-72.51351351,-58.02439024,-81.15384615,-46.25,-75.7,-85,2,11,0.03,35.32,0.837209302,0.023255814,0.888888889,0,286.8,0.002511593
61,0,-82,-72.51351351,-58.02439024,-81.15384615,-46.25,-75.7,-85,2,11,0.02,30.79,0.837209302,0.023255814,0.888888889,0,286.8,0.004189146
63,1,-82,-72.65217391,-59.38095238,-81.78571429,-45.225,-75.38461538,-85,2,11,0.02,32.01,0.9,0,0.847826087,0,286.8,0.004178565
65,0,-82,-72.65217391,-59.38095238,-81.78571429,-45.225,-75.38461538,-85,2,11,0.05,28.9,0.9,0,0.847826087,0,286.8,0.002425685
67,1,-82,-71.88636364,-57.7804878,-80.6,-44.05,-75.05,-85,2,11,0.02,29.47,0.823529412,0,0.863636364,0,286.8,0.003868268
69,0,-82,-71.88636364,-57.7804878,-80.6,-44.05,-75.05,-85,2,11,0.02,27.81,0.823529412,0,0.863636364,0,286.8,0.004187113
71,1,-82,-70.75,-58.62790698,-80.76470588,-43.25,-74.975,-85,2,11,0.02,29.44,0.847826087,0,0.925,0,286.8,0.004253374
73,0,-82,-70.75,-58.62790698,-80.76470588,-43.25,-74.975,-85,2,11,0.03,30.34,0.847826087,0,0.925,0,286.8,0.003822863
75,1,-82,-69.46511628,-56.75,-83.31578947,-42.375,-73.4,-85,2,11,0.03,26.85,0.823529412,0,0.976190476,0,286.8,0.003865324
77,0,-82,-69.46511628,-56.75,-83.31578947,-42.375,-73.4,-85,2,11,0.02,28.14,0.823529412,0,0.976190476,0,286.8,0.004171741
79,1,-82,-69.36363636,-58.52631579,-79.45454545,-40.725,-73.25,-85,2,11,0.03,27.73,0.857142857,0,0.909090909,0,286.8,0.004282443
81,0,-82,-69.36363636,-58.52631579,-79.45454545,-40.725,-73.25,-85,2,11,0.02,27.16,0.857142857,0,0.909090909,0,286.8,0.002443953
1,1,-86,-83.25274725,-57.1686747,-86.55932203,-55.95,-92,-85,2,11,0.02,48.72,0,0,0,1,286.8,0.003898268
3,0,-86,-83.25274725,-57.1686747,-86.55932203,-55.95,-92,-85,2,11,0.03,50.99,0,0,0,1,286.8,0.004170347
5,1,-86,-81.43902439,-57.7,-85.95588235,-54.275,-92,-85,2,11,0.03,49.02,0.022988506,0.011494253,0.024096386,1,286.8,0.004289854
7,0,-86,-81.43902439,-57.7,-85.95588235,-54.275,-92,-85,2,11,0.01,50.67,0.022988506,0.011494253,0.024096386,1,286.8,0.003783921
9,1,-86,-80.29885057,-56.2125,-86.43421053,-52.9,-85,-85,2,11,0.03,48.4,0.033707865,0,0.022988506,1,286.8,0.003835843
11,0,-86,-80.29885057,-56.2125,-86.43421053,-52.9,-85,-85,2,11,0.01,50.74,0.033707865,0,0.022988506,1,286.8,0.004196028
13,1,-86,-79.97560976,-56.87058824,-85.73684211,-52.125,-92,-85,2,11,0.02,48.75,0.045454545,0,0.024390244,1,286.8,0.004255771
15,0,-86,-79.97560976,-56.87058824,-85.73684211,-52.125,-92,-85,2,11,0.01,49.88,0.045454545,0,0.024390244,1,286.8,0.002456177
17,1,-86,-79.25882353,-56.24675325,-85.45205479,-51.4,-92,-85,2,11,0.02,48.19,0.093023256,0.011627907,0.035294118,1,286.8,0.002519174
19,0,-86,-79.25882353,-56.24675325,-85.45205479,-51.4,-92,-85,2,11,0.01,50.95,0.093023256,0.011627907,0.035294118,1,286.8,0.004204414
21,1,-86,-78.96341463,-56.84705882,-85.7826087,-50.325,-92,-85,2,11,0.03,49,0.164705882,0,0.097560976,1,286.8,0.00427774
23,0,-86,-78.96341463,-56.84705882,-85.7826087,-50.325,-92,-85,2,11,0.01,51.57,0.164705882,0,0.097560976,1,286.8,0.003809178
25,1,-86,-77.77108434,-56.40740741,-85.86440678,-48.65,-84.14285714,-85,2,11,0.03,48.73,0.226190476,0,0.662650602,1,286.8,0.003893847
27,0,-86,-77.77108434,-56.40740741,-85.86440678,-48.65,-84.14285714,-85,2,11,0.01,49.94,0.226190476,0,0.662650602,1,286.8,0.004247493
29,1,-86,-76.3452381,-57.67105263,-85.50847458,-47.7,-78.19047619,-85,2,11,0.02,45.19,0.540229885,0.011494253,0.86746988,0,286.8,0.004263809
31,0,-86,-76.3452381,-57.67105263,-85.50847458,-47.7,-78.19047619,-85,2,11,0.01,47.4,0.540229885,0.011494253,0.86746988,0,286.8,0.00388078
33,1,-86,-75.48192771,-57.42105263,-83.78688525,-47.65,-82.21052632,-85,2,11,0.02,26.77,0.823529412,0,0.879518072,0,286.8,0.003766266
35,0,-86,-75.48192771,-57.42105263,-83.78688525,-47.65,-82.21052632,-85,2,11,0.02,31.06,0.823529412,0,0.879518072,0,286.8,0.003838988
37,1,-86,-75.83544304,-57.53658537,-85.04477612,-46.575,-78.625,-85,2,11,0.02,30.34,0.695121951,0,0.911392405,0,286.8,0.003744775
39,0,-86,-75.83544304,-57.53658537,-85.04477612,-46.575,-78.625,-85,2,11,0,31.45,0.695121951,0,0.911392405,0,286.8,0.004214385
41,1,-86,-74.92105263,-57.34615385,-84.52941176,-45.6,-76,-85,2,11,0.02,29.39,0.913580247,0,0.961038961,0,286.8,0.004213424
43,0,-86,-74.92105263,-57.34615385,-84.52941176,-45.6,-76,-85,2,11,0.01,30.01,0.913580247,0,0.961038961,0,286.8,0.003798012
45,1,-86,-73.28205128,-56.2804878,-85.32758621,-44,-76.2,-85,2,11,0.01,28.13,0.903614458,0.012048193,0.923076923,0,286.8,0.003828033
47,0,-86,-73.28205128,-56.2804878,-85.32758621,-44,-76.2,-85,2,11,0.01,30.33,0.903614458,0.012048193,0.923076923,0,286.8,0.004099551
49,1,-86,-73.28089888,-57.59756098,-85.08196721,-42.2,-78.45,-85,2,11,0.03,29.9,0.845360825,0.010309278,0.91011236,0,286.8,0.004012953
51,0,-86,-73.28089888,-57.59756098,-85.08196721,-42.2,-78.45,-85,2,11,0.02,32.83,0.845360825,0.010309278,0.91011236,0,286.8,0.003795122
53,1,-86,-71.97727273,-57.09638554,-84.50943396,-43.175,-75.3,-85,2,11,0.02,32.2,0.902173913,0,0.954545455,0,286.8,0.003751549
55,0,-86,-71.97727273,-57.09638554,-84.50943396,-43.175,-75.3,-85,2,11,0.02,32.85,0.902173913,0,0.954545455,0,286.8,0.004388234
57,1,-86,-71.57954545,-57.72857143,-83.69230769,-42.375,-75.46153846,-85,2,11,0.03,30.28,0.876404494,0,0.885057471,0,286.8,0.004425415
59,0,-86,-71.57954545,-57.72857143,-83.69230769,-42.375,-75.46153846,-85,2,11,0.02,31.54,0.876404494,0,0.885057471,0,286.8,0.003842332
61,1,-86,-69.88888889,-56.5,-85.04918033,-41.275,-75,-85,2,11,0.03,30.39,0.88372093,0,0.938271605,0,286.8,0.00382603
63,0,-86,-69.88888889,-56.5,-85.04918033,-41.275,-75,-85,2,11,0.03,34.08,0.88372093,0,0.938271605,0,286.8,0.004200548
65,1,-86,-69.57317073,-56.75609756,-85.29032258,-40,-76.85,-85,2,11,0.02,30.3,0.941176471,0,0.951807229,0,286.8,0.004179752
67,0,-86,-69.57317073,-56.75609756,-85.29032258,-40,-76.85,-85,2,11,0.01,32.56,0.941176471,0,0.951807229,0,286.8,0.003683208
69,1,-86,-69.68539326,-57.19753086,-84.25862069,-39.6,-74.05,-85,2,11,0.03,30.18,0.858695652,0.010869565,0.865168539,0,286.8,0.00367534
71,0,-86,-69.68539326,-57.19753086,-84.25862069,-39.6,-74.05,-85,2,11,0.03,31.33,0.858695652,0.010869565,0.865168539,0,286.8,0.004009406
73,1,-86,-68.19480519,-59.47560976,-81.98360656,-39.175,-73.75,-85,2,11,0.03,28.7,0.902439024,0,0.961038961,0,286.8,0.004172953
75,0,-86,-68.19480519,-59.47560976,-81.98360656,-39.175,-73.75,-85,2,11,0.02,32.39,0.902439024,0,0.961038961,0,286.8,0.003685383
77,1,-86,-67.78313253,-57.35802469,-82.60784314,-38.925,-73.125,-85,2,11,0.02,28.63,0.885057471,0,0.927710843,0,286.8,0.003738654
79,0,-86,-67.78313253,-57.35802469,-82.60784314,-38.925,-73.125,-85,2,11,0.03,31.65,0.885057471,0,0.927710843,0,286.8,0.004303967
1,1,-82,-82.84782609,-64.25555556,-80.76404494,-66.95,-92,-70,1,4,0.15,48.44,0.060606061,0,0.052083333,1,51.6,0.004161585
3,0,-82,-82.84782609,-64.25555556,-80.76404494,-66.95,-92,-70,1,5,0.14,49.75,0.060606061,0,0.052083333,1,68.8,0.003855573
5,1,-82,-81.93617021,-66.23255814,-79.86956522,-66.6,-92,-70,1,5,0.17,49.76,0.051020408,0,0.031578947,1,68.8,0.003873188
7,0,-82,-81.93617021,-66.23255814,-79.86956522,-66.6,-92,-70,2,3,0.14,48.27,0.051020408,0,0.031578947,1,68.8,0.004210472
9,1,-82,-82.12087912,-64.8,-80.81111111,-65.1,-92,-70,1,5,0.16,47.81,0.020618557,0,0.02173913,1,68.8,0.004205624
11,0,-82,-82.12087912,-64.8,-80.81111111,-65.1,-92,-70,2,4,0.14,49.51,0.020618557,0,0.02173913,1,103.2,0.003867378
13,1,-82,-80.82795699,-65.52272727,-79.86956522,-65,-92,-70,1,5,0.17,46.27,0.041666667,0,0.032258065,1,68.8,0.002542651
15,0,-82,-80.82795699,-65.52272727,-79.86956522,-65,-92,-70,2,4,0.13,51.95,0.041666667,0,0.032258065,1,103.2,0.004223487
17,1,-82,-79.18947368,-65.64210526,-80.08333333,-63.95,-76,-70,1,5,0.17,44.35,0.104166667,0,0.072916667,1,68.8,0.004251333
19,0,-82,-79.18947368,-65.64210526,-80.08333333,-63.95,-76,-70,2,3,0.16,48.87,0.104166667,0,0.072916667,1,68.8,0.003768477
21,1,-82,-79.42696629,-64.86666667,-80.46067416,-62.1,-75.0625,-70,1,5,0.15,44.64,0.076086957,0,0.066666667,1,68.8,0.002476755
23,0,-82,-79.42696629,-64.86666667,-80.46067416,-62.1,-75.0625,-70,1,6,0.14,47.77,0.076086957,0,0.066666667,1,77.4,0.00421153
25,1,-82,-78.65909091,-65.34065934,-80.375,-62.525,-75,-70,2,4,0.15,45,0.133333333,0,0.08045977,1,103.2,0.004271795
27,0,-82,-78.65909091,-65.34065934,-80.375,-62.525,-75,-70,2,4,0.14,48.93,0.133333333,0,0.08045977,1,103.2,0.003726762
29,1,-82,-76.98780488,-64.47126437,-80.60869565,-61.025,-74.54285714,-70,2,4,0.15,42.82,0.149425287,0,0.144578313,1,103.2,0.003908741
31,0,-82,-76.98780488,-64.47126437,-80.60869565,-61.025,-74.54285714,-70,2,4,0.13,48.98,0.149425287,0,0.144578313,1,103.2,0.004136665
33,1,-82,-75.72727273,-64.6627907,-80.91666667,-60.15,-75,-70,2,4,0.14,43.43,0.544444444,0,0.090909091,2,103.2,0.004279517
35,0,-82,-75.72727273,-64.6627907,-80.91666667,-60.15,-75,-70,2,4,0.13,49.62,0.544444444,0,0.090909091,2,103.2,0.00249029
37,1,-82,-74.80681818,-66.38297872,-80.8021978,-58.55,-73.03030303,-70,2,4,0.14,44.86,0.776595745,0,0.159090909,2,103.2,0.003881344
39,0,-82,-74.80681818,-66.38297872,-80.8021978,-58.55,-73.03030303,-70,2,4,0.12,48.89,0.776595745,0,0.159090909,2,103.2,0.004241534
41,1,-82,-74.05376344,-66.59550562,-79.35106383,-59.95,-72.86111111,-70,2,4,0.14,40.03,0.946808511,0.010638298,0.252747253,2,103.2,0.004256859
43,0,-82,-74.05376344,-66.59550562,-79.35106383,-59.95,-72.86111111,-70,2,4,0.13,44.25,0.946808511,0.010638298,0.252747253,2,103.2,0.002441269
45,1,-82,-74.22093023,-65.27173913,-80.49450549,-58.6,-73.02564103,-70,2,5,0.14,33.96,0.88172043,0,0.325581395,2,137.6,0.002478403
47,0,-82,-74.22093023,-65.27173913,-80.49450549,-58.6,-73.02564103,-70,2,4,0.12,47.5,0.88172043,0,0.325581395,2,103.2,0.004213848
49,1,-82,-71.75,-65.40217391,-80.23333333,-56.625,-71.425,-70,2,11,0.22,17.52,0.965116279,0,0.976190476,0,286.8,0.004262218
51,0,-82,-71.75,-65.40217391,-80.23333333,-56.625,-71.425,-70,2,11,0.28,27.22,0.965116279,0,0.976190476,0,286.8,0.003812425
53,1,-82,-71.45744681,-65.40425532,-80.13333333,-56.125,-71.10526316,-70,2,11,0.21,25.06,0.921568627,0,0.978947368,0,286.8,0.002475259
55,0,-82,-71.45744681,-65.40425532,-80.13333333,-56.125,-71.10526316,-70,2,5,0.22,28.61,0.921568627,0,0.978947368,0,137.6,0.004219903
57,1,-82,-70.18666667,-65.48913043,-80.06741573,-54.8,-69.86842105,-70,2,11,0.23,21.71,0.903614458,0,0.934210526,0,286.8,0.004286185
59,0,-82,-70.18666667,-65.48913043,-80.06741573,-54.8,-69.86842105,-70,2,11,0.27,27.85,0.903614458,0,0.934210526,0,286.8,0.003803102
61,1,-82,-69.40697674,-65.89361702,-79.73809524,-52.75,-68.55,-70,2,11,0.22,22.86,0.955555556,0,0.965116279,0,286.8,0.003877629
63,0,-82,-69.40697674,-65.89361702,-79.73809524,-52.75,-68.55,-70,2,11,0.26,26.33,0.955555556,0,0.965116279,0,286.8,0.00422827
65,1,-82,-70.29473684,-65.59340659,-79.56989247,-52.025,-68.125,-70,2,11,0.21,20.89,0.928571429,0,0.957446809,0,286.8,0.004282267
67,0,-82,-70.29473684,-65.59340659,-79.56989247,-52.025,-68.125,-70,2,11,0.29,25.6,0.928571429,0,0.957446809,0,286.8,0.002469662
69,1,-82,-68.23809524,-65.52747253,-78.75555556,-50.975,-67.23076923,-70,2,11,0.23,20.49,0.943181818,0.011363636,0.964705882,0,286.8,0.003820399
71,1,-82,-67.34090909,-66.41573034,-79.04444444,-51.675,-67.02631579,-70,2,11,0.2,23.9,0.97752809,0,0.965909091,0,286.8,0.004245054
73,1,-82,-66.72413793,-65.73913043,-78.57446809,-50.925,-66.95,-70,2,11,0.19,20.88,0.955555556,0,0.977011494,0,286.8,0.004047627
75,1,-82,-66.66666667,-65.38202247,-79.85106383,-48.425,-65.97435897,-70,2,11,0.19,21.7,0.936170213,0,0.955555556,0,286.8,0.003776239
77,0,-82,-66.66666667,-65.38202247,-79.85106383,-48.425,-65.97435897,-70,2,11,0.29,26.06,0.936170213,0,0.955555556,0,286.8,0.003704218
1,1,-86,-82.2020202,-64.07058824,-82.3956044,-92,-92,-70,2,4,0.15,41.71,0.101010101,0,0.101010101,1,103.2,0.004140681
3,0,-86,-82.2020202,-64.07058824,-82.3956044,-92,-92,-70,2,4,0.13,50.63,0.101010101,0,0.101010101,1,103.2,0.004386438
5,1,-86,-81.57894737,-63.98901099,-81.73033708,-92,-92,-70,2,4,0.14,38.93,0.072164948,0,0.073684211,1,103.2,0.003783318
7,0,-86,-81.57894737,-63.98901099,-81.73033708,-92,-92,-70,2,4,0.12,50.21,0.072164948,0,0.073684211,1,103.2,0.003868663
9,1,-86,-80.43298969,-64.26373626,-81.26086957,-92,-92,-70,2,3,0.17,41.08,0.07,0.01,0.072164948,1,68.8,0.004435589
11,0,-86,-80.43298969,-64.26373626,-81.26086957,-92,-92,-70,2,3,0.15,49.59,0.07,0.01,0.072164948,1,68.8,0.00419979
13,0,-86,-79.25,-64.35106383,-81.73684211,-92,-92,-70,2,4,0.13,51.19,0.051546392,0,0.0625,1,103.2,0.00364621
15,1,-86,-78.49462366,-63.98947368,-80.73913043,-92,-92,-70,2,4,0.13,38.85,0.080808081,0,0.107526882,1,103.2,0.003789224
