,protocol,nav,ap_from_other_sum_ant_rssi,sta_to_self_sum_ant_rssi,sta_to_other_sum_ant_rssi,sta_from_self_sum_ant_rssi,sta_from_other_sum_ant_rssi,sta_from_sta_rssi,nss,mcs,per,seq_time,pro_pd,pro_ed,pro_nav,state,phy,ppdu_dur
50,0,-86,-74.84337349,-48.34567901,-83.76829268,-38.875,-74.15,-86,2,11,0.02,33.81,0.86746988,0,0.879518072,0,286.8,0.003825874
52,1,-86,-72.78947368,-48.07142857,-83.8974359,-37.125,-73.33333333,-86,2,11,0.04,33.78,0.960526316,0,0.947368421,0,286.8,0.003196118
54,0,-86,-72.78947368,-48.07142857,-83.8974359,-37.125,-73.33333333,-86,2,11,0.02,32.77,0.960526316,0,0.947368421,0,286.8,0.003709419
56,1,-86,-72.6746988,-48.19480519,-83.6125,-36.7,-73.09375,-86,2,11,0.03,33.99,0.916666667,0,0.927710843,0,286.8,0.004005437
58,0,-86,-72.6746988,-48.19480519,-83.6125,-36.7,-73.09375,-86,2,11,0.02,33.54,0.916666667,0,0.927710843,0,286.8,0.003798539
60,1,-86,-71.49315068,-48.16438356,-84.48648649,-35.75,-71.78787879,-86,2,11,0.03,31.83,0.972972973,0,0.959459459,0,286.8,0.003129011
62,0,-86,-71.49315068,-48.16438356,-84.48648649,-35.75,-71.78787879,-86,2,11,0.03,35.63,0.972972973,0,0.959459459,0,286.8,0.003221535
64,1,-86,-70.98837209,-48.9625,-83.83783784,-34.4,-71.62162162,-86,2,11,0.03,35.2,0.941860465,0,0.941860465,0,286.8,0.00322186
66,0,-86,-70.98837209,-48.9625,-83.83783784,-34.4,-71.62162162,-86,2,11,0.02,30.12,0.941860465,0,0.941860465,0,286.8,0.003758392
68,1,-86,-69.40697674,-48.7375,-83.24,-32.075,-71.18181818,-86,2,11,0.03,32.71,0.988505747,0,1,0,286.8,0.003072693
70,0,-86,-69.40697674,-48.7375,-83.24,-32.075,-71.18181818,-86,2,11,0.02,33.83,0.988505747,0,1,0,286.8,0.002540225
72,1,-86,-68.11111111,-47.88607595,-83.45,-31.3,-69.725,-86,2,11,0.03,30.63,0.987654321,0,0.987654321,0,286.8,0.003408071
74,0,-86,-68.11111111,-47.88607595,-83.45,-31.3,-69.725,-86,2,11,0.02,32.27,0.987654321,0,0.987654321,0,286.8,0.004041301
76,1,-86,-68.42352941,-48,-82.91764706,-30.975,-68.825,-86,2,11,0.02,31.21,0.920454545,0.022727273,0.952941176,0,286.8,0.002694361
78,0,-86,-68.42352941,-48,-82.91764706,-30.975,-68.825,-86,2,11,0.02,33.7,0.920454545,0.022727273,0.952941176,0,286.8,0.003289069
0,1,-82,-84.68817204,-62.61904762,-75.2183908,-64,-74.93939394,-71,2,4,0.15,49.49,0.021052632,0,0,1,103.2,0.003913117
2,0,-82,-84.68817204,-62.61904762,-75.2183908,-64,-74.93939394,-71,2,4,0.12,51.28,0.021052632,0,0,1,103.2,0.004194754
4,1,-82,-83.30526316,-62.46511628,-75.79518072,-62.975,-74.35135135,-71,2,5,0.14,49.83,0.06122449,0,0.020408163,1,137.6,0.002945565
6,0,-82,-83.30526316,-62.46511628,-75.79518072,-62.975,-74.35135135,-71,2,4,0.12,50.78,0.06122449,0,0.020408163,1,103.2,0.00278124
8,1,-82,-82.65591398,-62.31034483,-75.89247312,-62.625,-72.42857143,-71,2,5,0.15,48.75,0.043010753,0,0,1,137.6,0.00375952
10,0,-82,-82.65591398,-62.31034483,-75.89247312,-62.625,-72.42857143,-71,2,4,0.13,50.92,0.043010753,0,0,1,103.2,0.004271114
12,1,-82,-81.45454545,-62.36363636,-75.62222222,-60.35,-73.03448276,-71,2,4,0.13,50.08,0.06,0,0.01010101,1,103.2,0.002798516
14,0,-82,-81.45454545,-62.36363636,-75.62222222,-60.35,-73.03448276,-71,2,4,0.11,51.92,0.06,0,0.01010101,1,103.2,0.003233145
16,1,-82,-81.62,-62.25301205,-75.68235294,-59.425,-72.05882353,-71,2,4,0.12,50.26,0.069306931,0,0.00990099,1,103.2,0.003183006
18,0,-82,-81.62,-62.25301205,-75.68235294,-59.425,-72.05882353,-71,2,5,0.13,51,0.069306931,0,0.00990099,1,137.6,0.003070923
20,1,-82,-80.29896907,-62.17977528,-75.46666667,-59.075,-72.8125,-71,2,5,0.15,48.52,0.072164948,0,0.010309278,1,137.6,0.002450774
22,0,-82,-80.29896907,-62.17977528,-75.46666667,-59.075,-72.8125,-71,2,5,0.13,50.56,0.072164948,0,0.010309278,1,137.6,0.002126253
24,1,-82,-78.76595745,-61.82142857,-75.25581395,-58.925,-71.22727273,-71,2,4,0.12,49.47,0.063829787,0,0.010638298,1,103.2,0.003826964
26,0,-82,-78.76595745,-61.82142857,-75.25581395,-58.925,-71.22727273,-71,2,5,0.14,50.24,0.063829787,0,0.010638298,1,137.6,0.004294361
28,1,-82,-78,-61.48275862,-75.01190476,-56.575,-70.21621622,-71,2,5,0.12,49.11,0.097826087,0,0,1,137.6,0.002771429
30,0,-82,-78,-61.48275862,-75.01190476,-56.575,-70.21621622,-71,2,5,0.14,48.51,0.097826087,0,0,1,137.6,0.003309161
32,1,-82,-77.42553191,-61.53012048,-74.86666667,-56,-70.03125,-71,2,5,0.12,48.11,0.127659574,0,0,1,137.6,0.003593214
34,0,-82,-77.42553191,-61.53012048,-74.86666667,-56,-70.03125,-71,2,5,0.12,50.81,0.127659574,0,0,1,137.6,0.004278783
36,1,-82,-75.56842105,-61.98780488,-76.3452381,-54.875,-68.51282051,-71,2,5,0.11,48.65,0.694736842,0,0.021052632,2,137.6,0.002693249
38,0,-82,-75.56842105,-61.98780488,-76.3452381,-54.875,-68.51282051,-71,2,5,0.11,50.74,0.694736842,0,0.021052632,2,137.6,0.003369027
40,1,-82,-75.78125,-61.98837209,-76.22352941,-53.2,-68.15151515,-71,2,4,0.13,43.73,0.479166667,0,0.020833333,2,103.2,0.003967506
42,0,-82,-75.78125,-61.98837209,-76.22352941,-53.2,-68.15151515,-71,2,4,0.12,48.2,0.479166667,0,0.020833333,2,103.2,0.004282388
44,1,-82,-75.05952381,-62.34177215,-75.31395349,-53.5,-66.48717949,-71,2,4,0.15,42.22,0.776470588,0,0.023809524,2,103.2,0.002453917
46,0,-82,-75.05952381,-62.34177215,-75.31395349,-53.5,-66.48717949,-71,2,4,0.1,48.83,0.776470588,0,0.023809524,2,103.2,0.003734757
48,1,-82,-73.89655172,-62.27272727,-75.17241379,-51.975,-66.16216216,-71,2,11,0.2,36.01,1,0,0.367816092,2,286.8,0.00402294
50,0,-82,-73.89655172,-62.27272727,-75.17241379,-51.975,-66.16216216,-71,2,11,0.32,29.67,1,0,0.367816092,2,286.8,0.004279068
52,1,-82,-73.12941176,-60.88505747,-75.25842697,-50.925,-66.85,-71,2,11,0.24,31.1,0.988235294,0.011764706,0.729411765,0,286.8,0.002627879
54,0,-82,-73.12941176,-60.88505747,-75.25842697,-50.925,-66.85,-71,2,6,0.24,31.94,0.988235294,0.011764706,0.729411765,0,154.9,0.003689076
56,1,-82,-72.38372093,-61.21686747,-75.09195402,-49.55,-63.91666667,-71,2,11,0.22,30.73,0.965116279,0,0.895348837,0,286.8,0.002705308
58,0,-82,-72.38372093,-61.21686747,-75.09195402,-49.55,-63.91666667,-71,2,11,0.3,28.09,0.965116279,0,0.895348837,0,286.8,0.003642053
60,1,-82,-71.77777778,-61.30487805,-74.86206897,-48,-63.94594595,-71,2,11,0.24,29.12,0.977777778,0.011111111,0.866666667,0,286.8,0.003837954
62,0,-82,-71.77777778,-61.30487805,-74.86206897,-48,-63.94594595,-71,2,11,0.27,28.73,0.977777778,0.011111111,0.866666667,0,286.8,0.004256828
64,1,-82,-70.6627907,-62,-74.93103448,-47.625,-62.28205128,-71,2,11,0.18,31.4,0.976744186,0.011627907,0.88372093,0,286.8,0.00239687
66,0,-82,-70.6627907,-62,-74.93103448,-47.625,-62.28205128,-71,2,11,0.27,30.13,0.976744186,0.011627907,0.88372093,0,286.8,0.003773617
68,1,-82,-69.8172043,-62.07317073,-74.84269663,-46.425,-62.07894737,-71,2,11,0.19,31.18,0.978723404,0,0.924731183,0,286.8,0.003947487
70,1,-82,-68.78409091,-62.55172414,-74.5,-44.525,-58.97142857,-71,2,11,0.2,28.99,0.977272727,0,0.954545455,0,286.8,0.004272791
72,1,-82,-67.7,-62.36904762,-74.95061728,-44.55,-60.57142857,-71,2,11,0.17,29.09,0.975,0,0.9375,0,286.8,0.003855759
74,1,-82,-67.82352941,-61.65432099,-75.09302326,-45.05,-59.37142857,-71,2,11,0.2,30.26,0.988095238,0,0.964705882,0,286.8,0.003735393
76,0,-82,-67.82352941,-61.65432099,-75.09302326,-45.05,-59.37142857,-71,2,11,0.26,30.96,0.988095238,0,0.964705882,0,286.8,0.004242428
0,1,-86,-82.06521739,-64.20430108,-77.27173913,-68.075,-75,-71,2,4,0.15,47.19,0.021505376,0,0.032258065,1,103.2,0.004054095
2,0,-86,-82.06521739,-64.20430108,-77.27173913,-68.075,-75,-71,1,5,0.15,51.55,0.021505376,0,0.032258065,1,68.8,0.003797538
4,1,-86,-81.3956044,-64.95348837,-76.35,-66.65,-75,-71,2,4,0.14,44.8,0.010869565,0.010869565,0.010869565,1,103.2,0.002761579
6,0,-86,-81.3956044,-64.95348837,-76.35,-66.65,-75,-71,2,4,0.12,51.71,0.010869565,0.010869565,0.010869565,1,103.2,0.003954901
8,1,-86,-80.23469388,-64.84705882,-76.9,-65.025,-74.04,-71,2,4,0.15,45.61,0.051020408,0,0.020408163,1,103.2,0.004144075
10,0,-86,-80.23469388,-64.84705882,-76.9,-65.025,-74.04,-71,2,4,0.14,47.9,0.051020408,0,0.020408163,1,103.2,0.003774519
12,0,-86,-79.83505155,-64.90243902,-76.58139535,-64.475,-74,-71,2,4,0.14,50.27,0.030612245,0,0.010309278,1,103.2,0.003872348
14,1,-86,-79.06451613,-64.75,-76.33333333,-63.575,-73.05405405,-71,2,4,0.18,37.33,0.010752688,0,0.053763441,1,103.2,0.004030777
16,0,-86,-79.06451613,-64.75,-76.33333333,-63.575,-73.05405405,-71,1,0,0.26,39.22,0.010752688,0,0.053763441,1,8.6,0.004138936
18,1,-86,-77.60227273,-65.19354839,-76.05434783,-64,-73,-71,2,4,0.15,31.6,0.159090909,0,0.477272727,1,103.2,0.003845149
20,0,-86,-77.60227273,-65.19354839,-76.05434783,-64,-73,-71,2,4,0.13,45.08,0.159090909,0,0.477272727,1,103.2,0.0026843
22,1,-86,-76.86021505,-64.69230769,-76.17241379,-62.825,-72.21428571,-71,2,4,0.16,40.11,0.397849462,0,0.88172043,0,103.2,0.004040567
24,0,-86,-76.86021505,-64.69230769,-76.17241379,-62.825,-72.21428571,-71,2,4,0.08,46.63,0.397849462,0,0.88172043,0,103.2,0.004063545
26,1,-86,-76.41573034,-64.66292135,-76.07954545,-62,-71.97435897,-71,2,4,0.2,29.29,0.555555556,0,0.93258427,0,103.2,0.003678406
28,0,-86,-76.41573034,-64.66292135,-76.07954545,-62,-71.97435897,-71,2,4,0.25,32.07,0.555555556,0,0.93258427,0,103.2,0.003819585
30,1,-86,-75.58823529,-65.03614458,-75.96666667,-61.025,-70.11111111,-71,2,11,0.12,28.45,0.858823529,0,0.964705882,0,286.8,0.003848709
32,0,-86,-75.58823529,-65.03614458,-75.96666667,-61.025,-70.11111111,-71,2,11,0.37,23.72,0.858823529,0,0.964705882,0,286.8,0.004150832
34,1,-86,-74.75294118,-64.43373494,-75.58888889,-59.9,-70.94594595,-71,2,11,0.12,20.87,0.905882353,0,0.917647059,0,286.8,0.00375203
36,0,-86,-74.75294118,-64.43373494,-75.58888889,-59.9,-70.94594595,-71,2,11,0.3,26.39,0.905882353,0,0.917647059,0,286.8,0.003783396
38,1,-86,-74.34177215,-65.10227273,-76.1547619,-59.025,-69.19354839,-71,2,11,0.09,22.86,0.974683544,0,0.911392405,0,286.8,0.00403438
40,0,-86,-74.34177215,-65.10227273,-76.1547619,-59.025,-69.19354839,-71,2,11,0.26,24.6,0.974683544,0,0.911392405,0,286.8,0.004151996
42,1,-86,-72.71084337,-64.6741573,-75.70114943,-58.025,-68.54054054,-71,2,11,0.09,20.84,0.951807229,0,0.963855422,0,286.8,0.003814615
44,1,-86,-71.84,-65.18478261,-76,-56.275,-67.75,-71,2,11,0.08,25.93,0.948051948,0,0.973333333,0,286.8,0.00378287
46,1,-86,-70.88505747,-64.45454545,-75.56043956,-55.7,-66.71052632,-71,2,11,0.09,35.84,0.954545455,0,0.965517241,0,286.8,0.004050413
48,0,-86,-70.88505747,-64.45454545,-75.56043956,-55.7,-66.71052632,-71,2,11,0.23,25.25,0.954545455,0,0.965517241,0,286.8,0.004157398
50,1,-86,-69.53571429,-64.65116279,-75.46067416,-55.025,-65.12820513,-71,2,11,0.09,19.71,0.988235294,0,0.976190476,0,286.8,0.002748767
52,0,-86,-69.53571429,-64.65116279,-75.46067416,-55.025,-65.12820513,-71,2,11,0.26,23.79,0.988235294,0,0.976190476,0,286.8,0.003558891
54,1,-86,-69.27272727,-64.43529412,-75.50588235,-53.5,-64.45,-71,2,11,0.08,19.57,0.933333333,0.011111111,0.954545455,0,286.8,0.004068814
56,0,-86,-69.27272727,-64.43529412,-75.50588235,-53.5,-64.45,-71,2,11,0.23,25.83,0.933333333,0.011111111,0.954545455,0,286.8,0.004078655
58,1,-86,-67.55128205,-64.40697674,-75.2,-53.375,-63.85,-71,2,11,0.1,16.77,0.987341772,0,0.987179487,0,286.8,0.003748233
60,0,-86,-67.55128205,-64.40697674,-75.2,-53.375,-63.85,-71,2,11,0.25,25.73,0.987341772,0,0.987179487,0,286.8,0.002515625
62,1,-86,-66.80263158,-64.13253012,-75.26190476,-51.125,-61.91891892,-71,2,11,0.11,17.08,0.987012987,0,0.986842105,0,286.8,0.003984995
64,1,-86,-66.1375,-64,-75.13924051,-50.4,-62.30769231,-71,2,11,0.1,19.53,0.975308642,0.012345679,0.9875,0,286.8,0.003754867
66,0,-86,-66.1375,-64,-75.13924051,-50.4,-62.30769231,-71,2,11,0.27,25.38,0.975308642,0.012345679,0.9875,0,286.8,0.003354897
68,1,-86,-67.15555556,-64.46236559,-74.8172043,-49.825,-61.55,-71,2,11,0.12,17.53,0.933333333,0,0.922222222,0,286.8,0.003777809
70,0,-86,-67.15555556,-64.46236559,-74.8172043,-49.825,-61.55,-71,2,11,0.25,25.76,0.933333333,0,0.922222222,0,286.8,0.003691528
0,1,-82,-84.15789474,-67.36263736,-86.71428571,-69.9,-92,-78,2,7,0.03,48.54,0,0,0,1,172.1,0.004074934
2,0,-82,-84.15789474,-67.36263736,-86.71428571,-69.9,-92,-78,2,7,0.03,48.31,0,0,0,1,172.1,0.003698271
4,1,-82,-83.81521739,-67.66292135,-86.69135802,-68.35,-92,-78,2,7,0.03,48.96,0,0,0,1,172.1,0.003849919
6,0,-82,-83.81521739,-67.66292135,-86.69135802,-68.35,-92,-78,2,7,0.05,51.53,0,0,0,1,172.1,0.003790882
8,1,-82,-82.6185567,-67.80434783,-85.74418605,-67.825,-92,-78,2,8,0.06,46.85,0,0,0,1,206.5,0.004092377
10,0,-82,-82.6185567,-67.80434783,-85.74418605,-67.825,-92,-78,2,8,0.05,49.79,0,0,0,1,206.5,0.003672855
12,1,-82,-82.20833333,-67.91397849,-85.39215686,-67.4,-92,-78,2,8,0.06,47.68,0,0,0,1,206.5,0.003915105
14,0,-82,-82.20833333,-67.91397849,-85.39215686,-67.4,-92,-78,2,8,0.05,49.98,0,0,0,1,206.5,0.003862518
16,1,-82,-80.91397849,-67.13483146,-84.61764706,-65.7,-92,-78,2,9,0.07,46.34,0.010526316,0.010526316,0.010638298,1,229.4,0.004137962
18,0,-82,-80.91397849,-67.13483146,-84.61764706,-65.7,-92,-78,2,9,0.07,49.51,0.010526316,0.010526316,0.010638298,1,229.4,0.002701023
20,1,-82,-80.11827957,-67.4787234,-86.35294118,-64.5,-92,-78,2,9,0.05,46.7,0,0,0,1,229.4,0.002715237
22,0,-82,-80.11827957,-67.4787234,-86.35294118,-64.5,-92,-78,2,9,0.04,48.12,0,0,0,1,229.4,0.004004403
24,1,-82,-78.73404255,-67.68181818,-85.62962963,-63.9,-92,-78,2,9,0.04,47.92,0.031914894,0,0,1,229.4,0.004047531
26,0,-82,-78.73404255,-67.68181818,-85.62962963,-63.9,-92,-78,2,9,0.04,50.3,0.031914894,0,0,1,229.4,0.003952655
28,1,-82,-77.38202247,-67.19318182,-84.86046512,-62.85,-92,-78,2,9,0.07,46.84,0.139784946,0.010752688,0.011111111,1,229.4,0.003860784
30,0,-82,-77.38202247,-67.19318182,-84.86046512,-62.85,-92,-78,2,9,0.03,49.54,0.139784946,0.010752688,0.011111111,1,229.4,0.004119908
32,1,-82,-76.97647059,-67.81052632,-85.13888889,-62,-92,-78,2,9,0.05,49.46,0.223529412,0.023529412,0.023529412,1,229.4,0.004042947
34,0,-82,-76.97647059,-67.81052632,-85.13888889,-62,-92,-78,2,9,0.04,49.04,0.223529412,0.023529412,0.023529412,1,229.4,0.003738825
36,1,-82,-76.89772727,-67.68817204,-84.90909091,-61.55,-92,-78,2,9,0.08,45.41,0.375,0,0.011363636,1,229.4,0.003676476
38,0,-82,-76.89772727,-67.68817204,-84.90909091,-61.55,-92,-78,2,9,0.07,48.61,0.375,0,0.011363636,1,229.4,0.00399286
40,1,-82,-76.21686747,-67.36363636,-84.85294118,-60.6,-92,-78,2,10,0.08,48.06,0.752941176,0,0.011904762,2,258.1,0.003996234
42,0,-82,-76.21686747,-67.36363636,-84.85294118,-60.6,-92,-78,2,10,0.08,48.03,0.752941176,0,0.011904762,2,258.1,0.003587534
44,1,-82,-74.60240964,-67.67368421,-83.64444444,-59.75,-92,-78,2,10,0.08,46.15,0.952380952,0,0.108433735,2,258.1,0.003589392
46,0,-82,-74.60240964,-67.67368421,-83.64444444,-59.75,-92,-78,2,10,0.07,49.84,0.952380952,0,0.108433735,2,258.1,0.003898379
48,1,-82,-74.22093023,-67.85393258,-83.62068966,-58.6,-92,-78,2,10,0.07,46.05,0.91954023,0,0.390804598,2,258.1,0.004020986
50,0,-82,-74.22093023,-67.85393258,-83.62068966,-58.6,-92,-78,2,10,0.05,45.63,0.91954023,0,0.390804598,2,258.1,0.003560422
52,1,-82,-73.43037975,-67.73333333,-83.81818182,-57.85,-83,-78,2,10,0.05,41.52,0.938271605,0,0.82278481,0,258.1,0.003572392
54,0,-82,-73.43037975,-67.73333333,-83.81818182,-57.85,-83,-78,2,10,0.05,42.96,0.938271605,0,0.82278481,0,258.1,0.00399638
56,1,-82,-72.14285714,-67.76595745,-85.46153846,-56.7,-82.3,-78,2,10,0.07,34.78,0.976470588,0,0.905882353,0,258.1,0.003875699
58,0,-82,-72.14285714,-67.76595745,-85.46153846,-56.7,-82.3,-78,2,10,0.08,31.76,0.976470588,0,0.905882353,0,258.1,0.003503245
60,1,-82,-72.14634146,-67.64835165,-84.88,-55.95,-92,-78,2,11,0.08,31.39,0.927710843,0,0.817073171,0,286.8,0.003617259
62,0,-82,-72.14634146,-67.64835165,-84.88,-55.95,-92,-78,2,11,0.08,30.76,0.927710843,0,0.817073171,0,286.8,0.003807924
64,1,-82,-70.2375,-68.09375,-81.67857143,-54.9,-75,-78,2,11,0.08,29.29,0.963414634,0,0.95,0,286.8,0.004077983
66,0,-82,-70.2375,-68.09375,-81.67857143,-54.9,-75,-78,2,11,0.05,34.58,0.963414634,0,0.95,0,286.8,0.003618571
68,1,-82,-69.51190476,-67.50537634,-83.82758621,-53.425,-75.5,-78,2,11,0.08,26.82,0.964705882,0,0.928571429,0,286.8,0.003634877
70,0,-82,-69.51190476,-67.50537634,-83.82758621,-53.425,-75.5,-78,2,11,0.07,27.81,0.964705882,0,0.928571429,0,286.8,0.003506984
72,1,-82,-68.5308642,-67.52747253,-83.02380952,-52.6,-74.75862069,-78,2,11,0.06,28.3,0.987654321,0,0.987654321,0,286.8,0.003580493
74,1,-82,-69.0875,-67.78494624,-79.875,-52.55,-74.94594595,-78,2,11,0.06,26.98,0.925925926,0,0.888888889,0,286.8,0.00415766
76,0,-82,-69.0875,-67.78494624,-79.875,-52.55,-74.94594595,-78,2,11,0.03,47.22,0.925925926,0,0.888888889,0,286.8,0.001577894
